QUERY_ID,DOC_ID,RERANK_SCORE,RANK
1,JURISPRUDENCIA-SELECIONADA-20970,0.6118459105491638,1
1,JURISPRUDENCIA-SELECIONADA-53641,0.6067315340042114,2
1,JURISPRUDENCIA-SELECIONADA-15740,0.6039317846298218,3
1,JURISPRUDENCIA-SELECIONADA-20971,0.5992506742477417,4
1,JURISPRUDENCIA-SELECIONADA-47161,0.5765419602394104,5
1,JURISPRUDENCIA-SELECIONADA-15180,0.5746335387229919,6
1,JURISPRUDENCIA-SELECIONADA-20592,0.5727227926254272,7
1,JURISPRUDENCIA-SELECIONADA-21207,0.5688949227333069,8
1,JURISPRUDENCIA-SELECIONADA-13702,0.5669777989387512,9
1,JURISPRUDENCIA-SELECIONADA-20870,0.5631377696990967,10
1,JURISPRUDENCIA-SELECIONADA-20586,0.5614553093910217,11
1,JURISPRUDENCIA-SELECIONADA-20506,0.5532639622688293,12
1,JURISPRUDENCIA-SELECIONADA-21064,0.5508489608764648,13
1,JURISPRUDENCIA-SELECIONADA-21285,0.5416513085365295,14
1,JURISPRUDENCIA-SELECIONADA-42166,0.5414088368415833,15
1,JURISPRUDENCIA-SELECIONADA-21229,0.5303581357002258,16
1,JURISPRUDENCIA-SELECIONADA-20584,0.5270731449127197,17
1,JURISPRUDENCIA-SELECIONADA-31601,0.5105575323104858,18
1,JURISPRUDENCIA-SELECIONADA-21159,0.5058286190032959,19
1,JURISPRUDENCIA-SELECIONADA-18324,0.5001010894775391,20
2,JURISPRUDENCIA-SELECIONADA-77959,0.6067315340042114,1
2,JURISPRUDENCIA-SELECIONADA-31437,0.6001883149147034,2
2,JURISPRUDENCIA-SELECIONADA-19340,0.5306013822555542,3
2,JURISPRUDENCIA-SELECIONADA-76612,0.5175709128379822,4
2,JURISPRUDENCIA-SELECIONADA-17289,0.5142173767089844,5
2,JURISPRUDENCIA-SELECIONADA-32869,0.5027312636375427,6
2,JURISPRUDENCIA-SELECIONADA-18430,0.49874112010002136,7
2,JURISPRUDENCIA-SELECIONADA-56445,0.49523937702178955,8
2,JURISPRUDENCIA-SELECIONADA-19084,0.4866364598274231,9
2,JURISPRUDENCIA-SELECIONADA-18452,0.4649015963077545,10
2,JURISPRUDENCIA-SELECIONADA-53678,0.4296686351299286,11
2,JURISPRUDENCIA-SELECIONADA-18432,0.4248892068862915,12
2,JURISPRUDENCIA-SELECIONADA-47053,0.3415825068950653,13
2,JURISPRUDENCIA-SELECIONADA-42442,0.19314739108085632,14
2,JURISPRUDENCIA-SELECIONADA-13796,0.16667540371418,15
2,JURISPRUDENCIA-SELECIONADA-17039,0.16132023930549622,16
2,JURISPRUDENCIA-SELECIONADA-25309,0.16026602685451508,17
2,JURISPRUDENCIA-SELECIONADA-14512,0.15817435085773468,18
2,JURISPRUDENCIA-SELECIONADA-26907,0.15304215252399445,19
2,JURISPRUDENCIA-SELECIONADA-85242,0.13477592170238495,20
3,JURISPRUDENCIA-SELECIONADA-31102,0.6388352513313293,1
3,JURISPRUDENCIA-SELECIONADA-57354,0.6053325533866882,2
3,JURISPRUDENCIA-SELECIONADA-20512,0.6020615696907043,3
3,JURISPRUDENCIA-SELECIONADA-17219,0.5822535157203674,4
3,JURISPRUDENCIA-SELECIONADA-18003,0.5401962995529175,5
3,JURISPRUDENCIA-SELECIONADA-18000,0.5237857699394226,6
